Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point
yes,,2017-12-14,-1.172644,52.948337,,0.5,2017-12-14,,20,25,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,owned by a public authority,,,,not permissioned,Prospect Place,649,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455657.69959999993&xmax=455767.4001000002&ymin=339247.30069999956&ymax=339335.79539999925",,
,,2017-12-14,-1.171696,52.947581,,0.2,2017-12-14,,6,6,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,Not Permissioned,"Factory Willoughby Street, Prospect Place",650,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455706.09810000006&xmax=455780.7489&ymin=339217.2491999995&ymax=339264.74569999985",,
yes,,2017-12-14,-1.219193,52.971816,,3.04,2017-12-14,,120,120,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,owned by a public authority,2020-03-03,reserved matters approval,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PWQ8PELYJ2U00,permissioned,Denewood Crescent - Denewood Centre,653,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=452396.29000000004&xmax=452594.3883999996&ymin=341652.6500000004&ymax=341889.63159999996",,
yes,,2017-12-14,-1.173239,53.010229,,0.18,2017-12-14,,0,0,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2016-04-20,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NPGM50LYCB000,Not Permissioned,"Charles II Public House, Bestwood Park Drive West",658,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455527.8727000002&xmax=455573.09700000007&ymin=346191.45299999975&ymax=346246.61730000004",,
yes,,2017-12-14,-1.120181,52.944378,,2.3,2019-08-12,,109,129,DevelopmentDescription: Multiple applications. 3 sites total 193 the LP states 160. 15/01202/PFUL3 Erect 3 blocks (81 apartments) at Park Yacht Club. Though may be constructed. 17/01930/PFUL3 permission for 73 dwellings East of Trent Lane: 32 completed in 20/21. App 19/02505/; SiteInformation: N/A; NonHousingDevelopment: mixed use; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-10-10,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OVG2OMLYK6O00,permissioned,"Waterside - Trent Lane, Park Yacht Club",668,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=459044.0038999999&xmax=459231.6531999996&ymin=338755.6015000008&ymax=338914.1961000003",,
yes,,2017-12-14,-1.141397,52.95602,,0.31,2017-12-14,,101,101,"DevelopmentDescription: Change of use of existing building from office to residential, providing 101 apartments and including new cafe and creche use. Extension to the Second, Third and Fourth storeys within existing building footprint. Re-cladding of exterior facade and creati; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2017-02-02,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=O35FWDLYCB000,permissioned,1 Brook Street,669,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457724.05200000014&xmax=457792.74990000017&ymin=340167.5471999999&ymax=340244.3951999992",,
yes,,2017-12-14,-1.174002,52.9164,,0.85,2017-12-14,,35,35,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,Not Permissioned,Sturgeon Avenue - The Spinney,702,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455568.70999999996&xmax=455703.6168999998&ymin=335742.6754999999&ymax=335861.75",,
yes,,2017-12-14,-1.173831,52.946758,,0.26,2017-12-14,,40,40,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,Not Permissioned,"Furniture Store, Sherwin Road, off Lenton Boulevard",23,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455544.8989000004&xmax=455659.8514999999&ymin=339056.7952999994&ymax=339136.15249999985",,
,,2017-12-14,-1.120649,52.964566,,0.14,2017-12-14,,6,6,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,Not Permissioned,"Porchester Car Sales, Porchester Road, near Carlton Road",35,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=459139.5970999999&xmax=459169.6255999999&ymin=341076.2773000002&ymax=341159.6032999996",,
,,2017-12-14,-1.173433,52.983414,,4.41,2017-12-14,,60,115,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: Mixed use; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,mixed ownership,,,,not permissioned,Vernon Road - Former Johnsons Dyeworks,99,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455221.0493999999&xmax=455600.89919999987&ymin=342995.24789999984&ymax=343278.49679999985",,
,,2017-12-14,-1.178316,52.95566,,0.23,2017-12-14,,30,30,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,owned by a public authority,,,,Not permissioned,"Disused garage, Ilkeston Road, Opposite Cobden Street",138,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455290.80260000005&xmax=455358.8985000001&ymin=340122.66029999964&ymax=340168.1470999997",,
,2019-03-31,2017-12-14,-1.171089,52.956867,,0.62,2019-08-12,,0,0,DevelopmentDescription: Demolition and part demolition of existing buildings. Conversion to residential and new build residential units.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2017-06-29,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OEMN72LY01B00,permissioned,Ilkeston Road - Radford Mill,140,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455721.0538999997&xmax=455797.79959999956&ymin=340156.00060000084&ymax=340262.82799999975",,
yes,,2017-12-14,-1.16709,52.958539,,1.2,2019-08-12,,310,310,DevelopmentDescription: Hybrid planning application. Full application erection of 8 storey building comprising 81 residential units and 7 commercial premises. Outline application for up to 229 residential units.; SiteInformation: N/A; NonHousingDevelopment: Mixed use; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-01-24,outline planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OG0DHXLY01B00,permissioned,Alfreton Road - Forest Mill,141,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455935.9424999999&xmax=456094.34970000014&ymin=340311.5460999999&ymax=340451.8958999999",,
,,2017-12-14,-1.175218,52.960567,,0.14,2017-12-14,,8,8,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,Not Permissioned,"United Carpets, Hartley Road",143,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455465.20210000034&xmax=455508.5959000001&ymin=340666.60449999943&ymax=340715.67039999925",,
,,2017-12-14,-1.181617,52.96891,,4.38,2017-12-14,,80,120,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: Mixed use; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,not permissioned,"Bobbers Mill Bridge - Bobbers Mill Industrial Estate,",148,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454973.8130000001&xmax=455205.7960000001&ymin=341226.5541999992&ymax=341596.49829999916",,
,,2017-12-14,-1.182407,52.968234,,0.55,2017-12-14,,17,21,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,not permissioned,Bobbers Mill Bridge - Land Adjacent to Bobbers Mill Industrial Estate,150,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454924.33999999985&xmax=455034.5999999996&ymin=341446.69999999925&ymax=341595.3499999996",,
yes,,2017-12-14,-1.165068,52.971558,,0.05,2017-12-14,,5,5,DevelopmentDescription: Demolition of existing storage units and workshops and erection of a terrace of 5 No. 3-storey dwellings (Class C3). (Re-submission of 19/01999/PFUL3); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2020-03-25,outline planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=Q3DCD9LY0KU00,Not Permissioned,"P J Towey Construction, 197 Gladstone Street, NG7 6HX",160,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456167.4009999996&xmax=456194.94770000037&ymin=341882.74620000087&ymax=341901.75090000033",,
,,2017-12-14,-1.168155,52.977349,,0.09,2017-12-14,,7,7,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,Not Permissioned,"Disused Petrol Filling Station, Nottingham Road/ Rosetta Road",168,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455920.0493000001&xmax=455967.69739999995&ymin=342541.99760000035&ymax=342582.1961000003",,
yes,,2017-12-14,-1.164357,52.977681,,1.01,2019-08-12,,28,28,DevelopmentDescription: Erection of 29 dwellings. 1 COMPLETE IN 20/21; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-02-27,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OPMO98LYJJV00,permissioned,"Ellis and Everard site, Haydn Road",169,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456117.4029000001&xmax=456279.2039999999&ymin=342437.29759999923&ymax=342583.4458000008",,
yes,,2017-12-14,-1.187093,52.993251,,0.99,2017-12-14,,45,45,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,owned by a public authority,,,,not permissioned,Highbury Road - Former Henry Mellish School Site,226,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=454521.2000000002&xmax=454661.10950000025&ymin=344242.30000000075&ymax=344384.1899999995",,
yes,,2017-12-14,-1.161941,52.992536,,2.58,2017-12-14,,60,60,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,mixed ownership,,,,not permissioned,Arnside Road - Former Chronos Richardson,253,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456187.5488999998&xmax=456427.95320000034&ymin=344078.4000000004&ymax=344260.3499999996",,
,2019-03-31,2017-12-14,-1.166555,52.981535,,1.39,2019-08-12,,,,DevelopmentDescription: 34-36 dwellings and associated infrastructure (revised scheme).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2016-03-17,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NA6M6ILYCB000,permissioned,"Lortas Road, Perry Road",379,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455869.5482999999&xmax=456054.7982000001&ymin=342883.7497000005&ymax=343054.40100000054",,
,,2017-12-14,-1.157591,52.980753,,1.53,2017-12-14,,60,80,DevelopmentDescription: N/A; SiteInformation: N/A; NonHousingDevelopment: mixed use; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,not permissioned,Haydn Road/Hucknall Road - Severn Trent Water Depot,380,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456547.54000000004&xmax=456679.7999999998&ymin=342784.9000000004&ymax=342941.44999999925",,
,,2017-12-14,-1.17545,52.976699,,3.81,2017-12-14,,116,116,DevelopmentDescription: Variation of dwelling types and layout variation of 12/02756/PFUL3; SiteInformation: N/A; NonHousingDevelopment: Mixed use; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2014-08-11,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N4FMI4LY00L00,Not Permissioned,Radford Road - Former Basford Gasworks,1910,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455364.5762&xmax=455584.4282999998&ymin=342288.3499999996&ymax=342671.3911000006",,
yes,,2017-12-14,-1.176114,52.961668,,0.8,2017-12-14,,197,197,DevelopmentDescription: Erection of 6 storey student accommodation building comprising 197 studio flats with communal facilities; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2020-03-16,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=PZ3FE9LYHUD00,permissioned,Site Of Adam House And Burton House Player Street Nottingham,1940,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455390.2999999998&xmax=455590.8481999999&ymin=340774.5999999996&ymax=340875.1500000004",,
yes,,2017-12-14,-1.144104,52.94295,,1.2,2019-08-14,,25,25,"DevelopmentDescription: Erection of 110 new dwellings, comprising of 76 houses and 34 apartments and associated parking inc 23 at blackstone. All due to be complete by 4/1/21; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",,http://opendatacommunities.org/id/unitary-authority/nottingham,owned by a public authority,2017-01-31,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OCRFFULYG2300,permissioned,"Arkwright Walk(regeneration site), Arkwright Walk, Meadows",1945,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457472.4000000004&xmax=457873.7999999998&ymin=338480.44999999925&ymax=338914.8900000006",,
yes,,2017-12-14,-1.139717,52.9555,,0.65,2019-08-14,,41,41,"DevelopmentDescription: Outline planning application for the development of houses, apartments and duplexes with shared facilities and external courtyards, including details of access, layout and scale.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",,http://opendatacommunities.org/id/unitary-authority/nottingham,owned by a public authority,2018-11-30,outline planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ONVUPSLYMXI00,permissioned,Creative Quarter - Brook Street East,1961,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457865.75&xmax=458002.01669999957&ymin=340042.69999999925&ymax=340156.3847000003",,
,,2017-12-14,-1.161158,52.956039,,0.02,2017-12-14,,12,12,DevelopmentDescription: Multiple applications POSSIBLY. Conversion of existing and four storey extension to side to form 10 apartments.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,,Not Permissioned,"1, 1A And 3 And 3A Canning Chambers, Canning Circus",1998,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456447.5999999996&xmax=456471.4000000004&ymin=340171.69999999925&ymax=340187.5",,
,,2017-12-14,-1.158621,52.947588,,0.02,2017-12-14,,,,DevelopmentDescription: Conversion of offices to 6 dwellings.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2013-12-20,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MVSBDHLY00L00,Not Permissioned,1 Castle Quay,2012,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456629.0499999998&xmax=456645.4000000004&ymin=339230.3499999996&ymax=339244.1500000004",,
,2019-03-31,2017-12-14,-1.121845,52.954071,,0.11,2017-12-14,,,,DevelopmentDescription: Seven retail units with seven dwellings above.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2013-07-10,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MKGRKWLYCB000,Not Permissioned,198 Sneinton Dale,2014,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=459076.21499999985&xmax=459121.4000000004&ymin=339987.00799999945&ymax=340040.43099999987",,
yes,,2017-12-14,-1.171826,52.974072,,0.26,2017-12-14,,38,38,DevelopmentDescription: 38 dwellings; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2020-09-23,other,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=QEAOEKLY0L500,permissioned,"Mayfair Court, North Gate",2018,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455698&xmax=455767.6500000004&ymin=342134.13299999945&ymax=342195.05000000075",,
yes,,2017-12-14,-1.165447,52.972087,,0.2,2017-12-14,,45,45,DevelopmentDescription: Change of use from offices (Class B1a) to 45 apartments (Class C3; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2019-08-22,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=MQWOQALY00M00,permissioned,"Maville House, Maville Works, Beech Avenue",2022,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456086.25&xmax=456141.5719999997&ymin=341918.5189999994&ymax=341963.80000000075",,
yes,,2017-12-14,-1.159542,52.942405,,0.18,2019-08-14,,21,21,"DevelopmentDescription: Demolition of existing police station building and construction of a 3 and 4 storey block of 21, two bedroom apartments with associated car parking and amenity spaces and the extension of Rutland Close to form a new vehicular junction with Meadows Way.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A",,http://opendatacommunities.org/id/unitary-authority/nottingham,owned by a public authority,2019-01-08,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OYVSTKLYM0U00,permissioned,"Meadows Police Station (Regeneration Site), Meadows Way",2028,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456561.87009999994&xmax=456599.8167000003&ymin=338593.1667999998&ymax=338663.28419999965",,
,,2017-12-14,-1.145024,52.955911,,0.17,2017-12-14,,,,DevelopmentDescription: Conversion of offices to C3 residential dwellings. (22 apartments).; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2014-04-11,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N1AFJVLY00L00,Not Permissioned,"1 King Edward Court, King Edward Street",2039,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457527.9500000002&xmax=457597.8627000004&ymin=340138.94999999925&ymax=340197.38040000014",,
,2019-03-31,2017-12-14,-1.164661,52.955406,,0.05,2019-08-14,,,,DevelopmentDescription: Alterations to ground and first floor offices to create 8 self contained apartments.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-01-02,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OY9XBDLYK9W00,permissioned,174 Derby Road,2133,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456211.0700000003&xmax=456243.0599999996&ymin=340085.1500000004&ymax=340113.3200000003",,
,,2017-12-14,-1.165509,52.97198,,0.3,2017-12-14,,70,70,DevelopmentDescription: Conversion to 70 apartments and alterations.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=N2XKXVLYCB000,Not Permissioned,"The White House, Beech Avenue",2148,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456137.4000000004&xmax=456205.75&ymin=341901.4509999994&ymax=341963.80000000075",,
yes,,2017-12-14,-1.176539,52.980015,,0.11,2020-02-12,,24,24,DevelopmentDescription: Change of use to 24 apartments and alterations to fašade; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2020-04-27,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=POCGU8LYJBI00,permissioned,"The Irwin Business Centre, Church Street, Old Basford",2154,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455342.2000000002&xmax=455386.4000000004&ymin=342831.5&ymax=342905.94999999925",,
yes,,2017-12-14,-1.152362,52.953351,,0.03,2019-08-14,,,,DevelopmentDescription: Conversion to 8 one bed flats. 15/01654/PFUL3; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2015-05-11,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NKBRJJLY00M00,Not Permissioned,2 And 3 Newcastle Chambers NG1 6HL,2155,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457027.25&xmax=457049.2999999998&ymin=339868.05000000075&ymax=339890.75",,
yes,,2017-12-14,-1.17452,52.971762,,0.05,2019-08-14,,,,DevelopmentDescription: Conversion to 8 apartments.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2015-06-02,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NLPW3ELY00L00,Not Permissioned,410 - 414 Radford Road NG7 7NP,2163,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455532.5499999998&xmax=455557.6270000003&ymin=341916.4979999997&ymax=341939.30000000075",,
,2019-03-31,2017-12-14,-1.153634,52.954539,,0.02,2017-12-14,,,,DevelopmentDescription: Conversion of first and second floor offices to C3 residential. (8 apartments); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,,other,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P9SYVKLY01B00,permissioned,"93-95 Upper Parliament Street, NG1 6LA",2172,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456945.2410000004&xmax=456960.82600000035&ymin=339997.8220000006&ymax=340017.54199999943",,
,,2017-12-14,-1.174036,52.980205,,0.04,2017-12-14,,,,DevelopmentDescription: Conversion of offices to C3 residential. (7 apartments); SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2015-08-11,,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NQ4Z6CLY00L00,Not Permissioned,"561 Valley Road, NG5 1JG",2173,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=455539.9500000002&xmax=455566.9000000004&ymin=342829.5999999996&ymax=342856.75",,
yes,,2017-12-14,-1.145692,52.956886,,0.03,2019-08-14,,9,9,DevelopmentDescription: Demolition of existing office building and erection of a five storey building with 9 student accommodation apartments.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2018-12-11,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=P6T1SELYJI200,permissioned,1 Howard Street NG1 3LT,2188,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=457474.6500000004&xmax=457497.2000000002&ymin=340261.0999999996&ymax=340285.3499999996",,
,2019-03-31,2017-12-14,-1.164059,52.958438,,0.03,2019-08-14,,,,DevelopmentDescription: Extensions and conversion to create 9 self contained flats.; SiteInformation: N/A; NonHousingDevelopment: N/A; ProposedForPIP: No; Notes: N/A,,http://opendatacommunities.org/id/unitary-authority/nottingham,not owned by a public authority,2016-01-27,full planning permission,http://publicaccess.nottinghamcity.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=NT28UULYCB000,permissioned,"The Moog, Newdigate Street NG7 4FD",2190,"http://maps.nottinghamcity.gov.uk/insightmapping/?l=0.21,9.63&xmin=456232.51999999955&xmax=456254.6799999997&ymin=340432.6079999991&ymax=340455.5399999991",,
