Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-11-01,-1.75344,53.82077,,29.79,2018-11-01,700,0,0,Site with permission pending in outline,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,mixed ownership,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JDEEPSDHQ1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7603851FUL&activeTab=summary|https://planning.bradford.gov,pending decision,"Bolton Woods Quarry, Bolton Woods",CR/014,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415981.4905,435701.9762,416684.0796,436478.9962,27700",,,
,,2017-11-01,-1.771363,53.837292,,0.54,2018-11-01,45,45,45,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8903717FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IIDOCBDHU8000&activeTab=summary|https://planning.bradford.gov,not permissioned,"Dockfield Road northside, Shipley",CR/020,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415098.6,437876.1,415201.9,437956.6,27700",,,
,,2018-11-01,-1.771837,53.832601,,5.02,2018-11-01,65,0,0,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7602007FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=MIXMVGDHLT000&activeTab=summary|https://planning.bradford.gov,not permissioned,Land at Crag Rd,CR/024A,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414942.2529,437200.5714,415351.65,437596.1886,27700",,,
,,2017-11-01,-1.769653,53.836571,,0.69,2018-11-01,32,32,61,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7607559FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8403084COU&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Dockfield Road, Shipley",CR/025,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415204.18,437783.55,415309.8,437887.8,27700",,,
yes,,2017-11-01,-1.777207,53.834521,,0.02,2018-11-01,6,0,0,Vacant building with planning permission for conversion to 6 apartments.,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2017-02-24,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JXZDNODHC1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=PE5Y9LDH0LY00&activeTab=summary|https://planning.bradford.,permissioned,"Atkinson Street, Shipley",CR/030,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414751.44,437603.4913,414770.9262,437615.0953,27700",,,
,,2017-11-01,-1.774451,53.835109,,0.13,2018-11-01,20,20,20,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=K3QJ1SDH0A600&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=MCV76KDH06V00&activeTab=summary|https://planning.bradford.,not permissioned,"Briggate, Shipley",CR/031,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414911.8869,437658.3359,414995.7599,437693.3764,27700",,,
,,2017-11-01,-1.760832,53.8092,,0.8,2018-11-01,30,30,30,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9000320OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8206534FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,North Avenue. Manningham,CR/033,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415792.3,434717.38,415900.0,434866.0,27700",,,
yes,,2017-11-01,-1.769372,53.819716,,0.76,2018-11-01,42,0,0,Residential development of 42 dwellings comprising of 24 houses and 18 flats,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2017-10-03,outline planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KPNC4BDH02100&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JU0WG9DHFH000&activeTab=summary|https://planning.bradford.,permissioned,"Frizinghall Road, Frizinghall",CR/034,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415224.0004,435918.4,415342.75,436027.35,27700",,,
,,2017-11-01,-1.759625,53.821727,,0.83,2018-11-01,35,35,35,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0203738FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7502559FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Victor Mills, Bolton hall Road, Bolton Woods",CR/036,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415864.8,436124.2,415983.9749,436251.5498,27700",,,
yes,,2017-11-01,-1.77189,53.825223,,0.76,2018-11-01,38,0,0,Site with permission for 38 family homes,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LVKQOODH0B200&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=ORA19CDHKB700&activeTab=summary|https://planning.bradford.,permissioned,"Valley Road, Shipley",CR/038,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415054.4719,436506.7508,415172.15,436645.15,27700",,,
,,2017-11-01,-1.777378,53.833339,,1.15,2018-11-01,25,25,25,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,mixed ownership,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=ICZHIVDH12000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IJIS5SDHU8000&activeTab=summary|https://planning.bradford.,not permissioned,"Buildings in Market Square, Shipley",CR/039,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414685.25,437404.55,414824.05,437544.5541,27700",,,
,,2017-11-01,-1.77635,53.83242,,0.49,2018-11-01,50,50,50,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=II2GGGDHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9700928COU&activeTab=summary|https://planning.bradford.gov,not permissioned,"Market Street and Otley Road, Shipley",CR/040,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414793.3,437308.2,414843.7973,437439.4,27700",,,
yes,,2017-11-01,-1.76739,53.837857,,0.15,2018-11-01,15,15,15,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IQNXBKDH12000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HPL5QNDH12000&activeTab=summary|https://planning.bradford.,not permissioned,"Dock Lane, Shipley",CR/041,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415375.7836,437957.9,415431.646,438004.0424,27700",,,
yes,,2017-11-01,-1.769306,53.83437,,0.14,2018-11-01,31,0,0,Change of use from Office (B1a) to residential use (C3): 31 dwellings,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,other,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8903473LBC&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9203011FUL&activeTab=summary|https://planning.bradford.gov.uk,permissioned,"1-7 Leeds Road/Dock Lane, Shipley",CR/046,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415256.15,437571.6,415298.9,437622.5573,27700",,,
yes,,2017-11-01,-1.769801,53.834703,,0.71,2018-11-01,60,60,60,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9203011FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9700861FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,Land between Leeds Road and Dock Lane,CR/047,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415174.55,437571.6,415322.5862,437699.6904,27700",,,
yes,,2017-11-01,-1.774542,53.832964,,0.3,2018-11-01,50,50,50,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7907520REN&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8706551COU&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Station Road, Shipley",CR/048,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414897.6,437403.615,414963.45,437480.4,27700",,,
yes,,2017-11-01,-1.77748,53.829221,,0.11,2018-11-01,11,11,27,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=HIQR2ODHQ1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7701725FUL&activeTab=summary|https://planning.bradford.gov,not permissioned,"Otley Road, Shipley",CR/049,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=414712.8063,436998.4502,414774.581,437040.205,27700",,,
yes,,2018-11-01,-1.761458,53.819538,,0.04,2018-11-01,5,0,0,Pub with planning permission for extension and conversion to 5 apartments.,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2018-04-10,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NF8CH7DH02F00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NVFFG9DHLT000&activeTab=summary|https://planning.bradford.,permissioned,Livingstone Cres,CR/051,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=415787.7197,435933.605,415818.1,435955.3458,27700",,,
yes,,2017-11-01,-1.902603,53.824652,,1.86,2018-11-01,53,0,0,Cleared site with outline permission for a residential development of up to 53 dwellings including associated open space and infrastructure,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2017-03-29,outline planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IKA0I0DHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0201978OUT&activeTab=summary|https://planning.bradford.gov,permissioned,"Halifax Road, Cullingworth",CU/001,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406422.8,436375.4,406614.8299,436612.9,27700",,,
yes,,2017-11-01,-1.897741,53.826384,,1.17,2018-11-01,43,43,52,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IHTAZFDHU8000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IPN6RXDHU8000&activeTab=summary|https://planning.bradford.,not permissioned,"Cullingworth Mill, Cullingworth",CU/004,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406767.1,436586.67,406900.34,436762.1,27700",,,
yes,,2017-11-01,-1.888437,53.800387,,4.38,2018-11-01,80,0,0,Cleared site with outline permission for the construction of up to 80 dwellings,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2016-04-28,outline planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7701653FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7602653FUL&activeTab=summary|https://planning.bradford.gov.uk,permissioned,"Station Road, Denholme",DH/016,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=407355.75,433541.3,407546.75,434057.2,27700",,,
yes,,2017-11-01,-1.945573,53.834892,,1.18,2018-11-01,43,43,53,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=IZCYXCDHSA000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8806531LBC&activeTab=summary|https://planning.bradford.gov,not permissioned,"Ebor Mills, Ebor Lane, Haworth",HA/005,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=403623.6,437566.5,403756.7,437715.3,27700",,,
yes,,2017-11-01,-1.949719,53.827284,,1.16,2018-11-01,43,43,52,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7807578FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8606352EXT&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"Ivy Bank Lane, Haworth",HA/010,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=403360.0,436685.9,403454.2,436909.6,27700",,,
yes,,2017-11-01,-1.946178,53.832733,,0.07,2018-11-01,7,7,18,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LNLCT6DHC1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=P1B2PLDHIMH00&activeTab=summary|https://planning.bradford.,not permissioned,"Chapel Works, Station Road, Haworth",HA/017,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=403619.0,437366.7268,403659.4,437405.6,27700",,,
yes,,2017-11-01,-1.951874,53.828017,,0.11,2018-11-01,7,0,0,Conversion of the Drill Hall to form 4 x 2-bedroom dwellings and the construction of 3 x 3-bedroom dwellings with associated parking and means of access,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2015-10-21,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7402902OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9902447COU&activeTab=summary|https://planning.bradford.gov.uk,permissioned,"Warehouse, Clevedon Street, Haworth",HA/033,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=403247.4,436831.9,403282.2,436895.6,27700",,,
yes,,2017-11-01,-1.936557,53.870367,,1.06,2018-11-01,36,0,0,Site with detailed permission for 36 houses and apartments,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,2017-02-07,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=P7QNE3DH0CY00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0101045REG&activeTab=summary|https://planning.bradford.gov,permissioned,"Braithwaite Road, Keighley",KY/011,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=404196.15,441527.9,404341.55,441628.2,27700",,,
,,2017-11-01,-1.934079,53.870744,,1.24,2018-11-01,46,46,56,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=P7QNE3DH0CY00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0101045REG&activeTab=summary|https://planning.bradford.gov,not permissioned,"Whinfield Drive, Keighley",KY/012,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=404315.9,441565.65,404541.65,441670.0,27700",,,
yes,,2017-11-01,-1.915694,53.866622,,0.93,2018-11-01,34,34,42,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=I57NU5DHJ6000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9900805COU&activeTab=summary|https://planning.bradford.gov,not permissioned,"West Lane, Keighley",KY/027,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405581.0,441109.6873,405706.9375,441204.6561,27700",,,
,,2018-11-01,-1.897571,53.86997,,3.11,2018-11-01,119,119,231,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=I0IW9WDHV2000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LCP141DH07C00&activeTab=summary|https://planning.bradford.,not permissioned,Mitchell Street/Chatsworth Street/Beeches Road,KY/031,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406719.2876,441395.7,406955.27,441668.0,27700",,,
,,2017-11-01,-1.899956,53.868938,,1,2018-11-01,46,46,89,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7703379FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LCP141DH07C00&activeTab=summary|https://planning.bradford.gov,not permissioned,"Bradford Road, Keighley",KY/032,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406609.35,441355.2,406733.6,441487.75,27700",,,
yes,,2017-11-01,-1.863755,53.875176,,0.52,2018-11-01,14,14,19,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0202119VOC&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9800409OUT&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,Carr Bank Riddlesden,KY/047,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=408982.5,442077.4,409107.31,442184.23,27700",,,
yes,,2017-11-01,-1.856063,53.866598,,0.41,2018-11-01,11,11,15,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LUCLVTDHC1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LJBV8VDH0B200&activeTab=summary|https://planning.bradford.,not permissioned,Bradford Road Riddlesden,KY/049,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=409520.9,441114.0498,409607.0,441208.5998,27700",,,
yes,,2017-11-01,-1.906239,53.862417,,1.69,2018-11-01,62,62,76,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=MCHX0LDH04C00&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8011400FUL&activeTab=summary|https://planning.bradford.gov,pending decision,"The Walk, Keighley",KY/064,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406186.1,440500.0,406374.65,440865.4,27700",,,
,,2017-11-01,-1.91033,53.864491,,0.57,2018-11-01,26,26,51,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7702766FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=8603197DUMMY&activeTab=summary|https://planning.bradford.gov.,not permissioned,"Beck Street/Bridge Street, Keighley",KY/083,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405938.0309,440883.4998,406043.8438,440964.0936,27700",,,
yes,,2018-11-01,-1.907231,53.856259,,0.14,2018-11-01,10,0,0,Cleared site with permission for 10,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2017-12-29,outline planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7808280FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=LY9CO5DH0DK00&activeTab=summary|https://planning.bradford.gov,permissioned,Woodhouse Road,KY/090,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406174.3,439981.0,406223.65,440036.5,27700",,,
,,2017-11-01,-1.914072,53.873851,,0.77,2018-11-01,28,28,34,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9105561REG&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KJJCQUDH06L00&activeTab=summary|https://planning.bradford.gov,not permissioned,"Woodville Road, Spring Gardens Lane, Keighley",KY/095,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405688.5,441926.25,405817.8,442006.5,27700",,,
yes,,2017-11-01,-1.92812,53.852662,,0.11,2018-11-01,6,0,0,Cleared site with full permission for terrace of 6 3 bedroomed homes,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,not owned by a public authority,2017-04-01,full planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=KYLPRWDHC1000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=NV2TDLDHLT000&activeTab=summary|https://planning.bradford.,permissioned,"Elmwood Terrace, Bracken Bank, Keighley",KY/096,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=404803.2,439580.3,404850.35,439629.8,27700",,,
,,2017-11-01,-1.904387,53.861145,,0.22,2018-11-01,9,9,11,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=J1VMDZDHJ2000&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=9701134FUL&activeTab=summary|https://planning.bradford.gov,not permissioned,"James Street East, Keighley",KY/099,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406344.35,440510.1911,406422.8902,440585.2498,27700",,,
,,2017-11-01,-1.9022,53.862982,,0.25,2018-11-01,7,7,10,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7704677OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7707781FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,"St Pauls Rise, Keighley",KY/102,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=406496.6732,440710.1,406559.25,440797.0998,27700",,,
,,2017-11-01,-1.917062,53.866609,,0.42,2018-11-01,15,15,19,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7905691FUL&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=JQH4PHDH8O000&activeTab=summary|https://planning.bradford.gov,not permissioned,"West Lane, Keighley",KY/119,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405510.9098,441121.6,405592.1368,441203.2573,27700",,,
yes,,2017-11-01,-1.919469,53.863262,,0.51,2018-11-01,19,19,23,,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,owned by a public authority,,,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0202186REG&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7505739FUL&activeTab=summary|https://planning.bradford.gov.uk,not permissioned,Former Branshaw Special School - Nashville Street,KY/125,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405357.896,440722.804,405431.978,440845.681,27700",,,
yes,,2018-11-01,-1.920808,53.854522,,0.13,2018-11-01,9,0,0,Site with permission for 6 houses and 3 flats,City of Bradford Metropolitan District Council,http://opendatacommunities.org/id/metropolitan-district-council/bradford,,2017-04-29,outline planning permission,https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=0301608OUT&activeTab=summary|https://planning.bradford.gov.uk/online-applications/applicationDetails.do?keyVal=7603545REN&activeTab=summary|https://planning.bradford.gov.uk,permissioned,Former Site Of Ingrow Corn Former Site of Corn Mill Ingrow Lane Keighley,KY/136,"http://cbmdc.maps.arcgis.com/apps/webappviewer/index.html?id=2134938ccf5843649ef0e555c0926dae&extent=405271.05,439774.6,405339.65,439837.1,27700",,,
